node_id,vsn,lat,lon,community_area
001e0610ba46,4,41.878377,-87.627678,
001e0610ba3b,6,41.858136,-87.616055,
001e0610ba8f,00D,41.810342,-87.590228,
001e0610ba16,10,41.866349,-87.710543,
001e0610ba8b,18,41.7806,-87.586456,
001e0610ba18,01D,41.852179,-87.675825,
001e0610bc10,01F,41.736314,-87.624179,
001e0610bbf9,20,41.768319,-87.683396,
001e0610bbff,25,41.857797,-87.685806,
001e0610ba15,02A,41.722457,-87.57535,
001e0610bbe5,02C,41.736495,-87.614529,
001e0610ee33,02D,41.965089,-87.679076,
001e0610b9e5,02F,41.994597,-87.655523,
001e0610f8f4,30,41.832579,-87.646133,
001e0610ee41,32,41.882304,-87.671773,
001e0610eef4,34,41.912681,-87.681052,
001e0610ef29,37,41.743814,-87.614732,
001e0610f668,38,41.831827,-87.675311,
001e0610f730,39,41.94672,-87.69068,
001e0610bc07,03C,41.878372,-87.706042,
001e0610ef26,03D,41.88431,-87.647431,
001e0610ea5a,03E,41.914202,-87.683048,
001e0610ee61,03F,41.880732,-87.72566,
001e0610ba81,40,41.741148,-87.54045,
001e0610ba57,41,41.881172,-87.686359,
001e0610ee82,48,41.921405,-87.677766,
001e0610ef27,04C,41.846579,-87.685557,
001e0610fb4c,04D,41.913583,-87.682414,
001e0610ee6f,04E,41.846897,-87.673061,
001e0610ef68,04F,41.857775,-87.666144,
001e0610e809,50,41.903335,-87.6674,
001e0610ee36,51,41.751295,-87.605288,
001e061135cb,52,41.779369,-87.664421,
001e0610e532,53,41.857959,-87.656427,
001e0610ee5d,56,41.923996,-87.761072,
001e0610ef73,57,41.751142,-87.71299,
001e0610e540,05A,41.838618,-87.607817,
001e0610f6dd,05D,41.895355,-87.726064,
001e06113ad8,62,41.866786,-87.666306,
001e0611441e,67,41.808594,-87.665048,
001e06113d83,06A,41.910922,-87.649518,
001e06112e77,06B,41.786756,-87.664343,
001e0610f6db,06D,41.791329,-87.598677,
001e06115365,06E,41.78843,-87.59913,
001e06113cff,70,41.751142,-87.71299,
001e0611537d,71,41.794167,-87.601646,
001e06113107,72,41.751142,-87.71299,
001e06114fd4,73,41.794477,-87.615957,
001e06113ad6,75,41.906481,-87.671373,
001e06109f62,76,41.84241,-87.724499,
001e06113ace,77,41.83107,-87.617298,
001e061146bc,79,41.918733,-87.668257,
001e061146cb,07C,41.9140942,-87.683022,
001e0610e539,07E,41.880497,-87.745268,
001e0610f703,07F,41.87148,-87.67644,
001e0610b9e9,80,41.96904,-87.659672,
001e0611462f,81,41.823527,-87.641054,
001e06115369,82,41.946373,-87.727382,
001e0610bc12,85,41.75034,-87.663518,
001e0610e835,86,41.968757,-87.679174,
001e0610e538,87,41.736593,-87.604759,
001e0610eef2,88,41.965256,-87.66672,
001e061130f4,89,41.896157,-87.662391,
001e0610ee43,08B,41.788608,-87.598713,
001e0610f05c,08C,41.924903,-87.687703,
001e0610f732,08D,41.895005,-87.745817,
001e06113100,08E,41.692769,-87.609852,
001e0610e537,08F,41.961622,-87.665948,
001e0610f513,090A,41.939121,-87.723801,
001e06109416,090B,41.916586,-87.666406,
001e061146d6,091A,41.903632,-87.648093,
001e06113d22,92,41.800846,-87.703739,
001e06114503,95,41.666078,-87.539374,
001e06113dbc,96,41.713867,-87.536509,
001e061144c0,97,41.764122,-87.72242,
001e06114fcf,98,41.954825,-87.645248,
001e06115382,09B,41.88076,-87.62775,
001e06113cf1,09C,41.884688,-87.627864,
001e06113acb,09D,41.839066,-87.665685,
001e06113f54,0A0,41.884607,-87.624577,
001e06114500,0A1,41.714494,-87.643099,
001e06113d32,0A2,41.947066,-87.688326,
001e061146ba,0A3,41.96759,-87.76257,
001e06113a48,0A4,41.943263,-87.688069,
001e06113ba6,0A5,41.883541,-87.666748,
001e06115379,0A6,41.88326,-87.63387,
001e06114fd6,0A7,41.88449,-87.636955,
001e0611536c,0AA,41.88575,-87.62969,
001e06114fd9,0AC,41.92617,-87.631533,
001e061144be,890,41.792543,-87.600008,
001e0610ba13,01C,41.751238,-87.71299,
001e06107e5d,14,41.8832053,-87.6277685,
001e0610b9e7,28,41.8303847,-87.684862,
001e0610890f,74,41.793278,-87.600117,
001e06113a24,07A,41.788979,-87.597995,
001e061144cd,07B,41.8742,-87.666599,
001e061144d6,07D,41.729355,-87.604647,
001e06113d78,83,41.722044,-87.604482,
001e06113ae8,93,41.795436,-87.599623,
001e06113d20,94,41.8920031,-87.6116431,
001e061146d4,99,41.65849,-87.559113,
001e06109401,09A,41.685445,-87.611081,
001e0611463b,0A9,41.789737,-87.587134,
001e0610f02f,00A,41.9262614,-87.6307578,
001e0610e8cb,54,41.946731,-87.688258,
001e061182a3,0F2,41.829806,-87.659467,
001e061181e8,10C,41.829806,-87.659467,
001e06118433,10E,41.829806,-87.659467,
001e061183bf,11A,41.829806,-87.659467,
001e0611804d,11E,41.829806,-87.659467,
001e061182a2,13B,41.829806,-87.659467,
001e06118295,0EA,41.820972,-87.802435,
001e061184e7,0,41.836875,-87.734087,
001e06118501,0B0,41.779805,-87.649145,
001e06118182,0C3,41.779593,-87.659354,
001e06118509,0C2,41.779744,-87.654487,
001e061182a1,0BD,41.794467,-87.622479,
001e061183eb,0BE,41.779889,-87.644777,
001e06117b41,0BA,41.785715,-87.622214,
